WFK_fascist_dictatorship;West Frankish Kingdom;;;;;;;;;;;;;x,,,,,,,,
VIS;Visigothia;;;;;;;;;;;;;x,,,,,,,,
VIS_ADJ;Visigothic;;;;;;;;;;;;;x,,,,,,,,
VIS_autonomous_dependency;Duchy of Visigothia;;;;;;;;;;;;;x,,,,,,,,
VIS_absolute_monarchy;Visigothic Kingdom;;;;;;;;;;;;;x,,,,,,,,
VIS_prussian_constitutionalism;Visigothic Kingdom;;;;;;;;;;;;;x,,,,,,,,
VIS_hms_government;Visigothic Kingdom;;;;;;;;;;;;;x,,,,,,,,
VIS_democracy;Visigothic Republic;;;;;;;;;;;;;x,,,,,,,, 
VIS_parliamentary_republic;Visigothic Republic;;;;;;;;;;;;;x,,,,,,,,
VIS_presidential_dictatorship;Visigothic Republic;;;;;;;;;;;;;x,,,,,,,,
VIS_bourgeois_dictatorship;Visigothic Democratic Republic;;;;;;;;;;;;;x,,,,,,,,
VIS_proletarian_dictatorship;Visigothic Democratic Republic;;;;;;;;;;;;;x,,,,,,,,
VIS_socialist_republic;Visigothic Socialist Republic;;;;;;;;;;;;;x,,,,,,,,
VIS_fascist_monarchy;Visigothic Kingdom;;;;;;;;;;;;;x,,,,,,,,
VIS_fascist_dictatorship;Visigothic Kingdom;;;;;;;;;;;;;x,,,,,,,,\
VAN;Vandals;;;;;;;;;;;;;x,,,,,,,,
VAN_ADJ;Vandalic;;;;;;;;;;;;;x,,,,,,,,
VAN_autonomous_dependency;Duchy of the Vandals;;;;;;;;;;;;;x,,,,,,,,
VAN_absolute_monarchy;Kingdom of the Vandals;;;;;;;;;;;;;x,,,,,,,,
VAN_prussian_constitutionalism;Kingdom of the Vandals;;;;;;;;;;;;;x,,,,,,,,
VAN_hms_government;Kingdom of the Vandals;;;;;;;;;;;;;x,,,,,,,,
VAN_democracy;Republic of the Vandals;;;;;;;;;;;;;x,,,,,,,, 
VAN_parliamentary_republic;Republic of the Vandals;;;;;;;;;;;;;x,,,,,,,,
VAN_presidential_dictatorship;Republic of the Vandals;;;;;;;;;;;;;x,,,,,,,,
VAN_bourgeois_dictatorship;Republic of the Vandals;;;;;;;;;;;;;x,,,,,,,,
VAN_proletarian_dictatorship;Republic of the Vandals;;;;;;;;;;;;;x,,,,,,,,
VAN_socialist_republic;Republic of the Vandals;;;;;;;;;;;;;x,,,,,,,,
VAN_fascist_monarchy;Kingdom of the Vandals;;;;;;;;;;;;;x,,,,,,,,
VAN_fascist_dictatorship;Kingdom of the Vandals;;;;;;;;;;;;;x,,,,,,,,
GHU;Hungary;;;;;;;;;;;;;x,,,,,,,,
GHU_ADJ;Hungarian;;;;;;;;;;;;;x,,,,,,,,
GHU_autonomous_dependency;Duchy of Hungary;;;;;;;;;;;;;x,,,,,,,,
GHU_absolute_monarchy;Kingdom of Hungary;;;;;;;;;;;;;x,,,,,,,,
GHU_prussian_constitutionalism;Kingdom of Hungary;;;;;;;;;;;;;x,,,,,,,,
GHU_hms_government;Kingdom of Hungary;;;;;;;;;;;;;x,,,,,,,,
GHU_democracy;Hungarian Republic;;;;;;;;;;;;;x,,,,,,,, 
GHU_parliamentary_republic;Hungarian Republic;;;;;;;;;;;;;x,,,,,,,,
GHU_presidential_dictatorship;Hungarian Republic;;;;;;;;;;;;;x,,,,,,,,
GHU_bourgeois_dictatorship;Hungarian Republic;;;;;;;;;;;;;x,,,,,,,,
GHU_proletarian_dictatorship;Hungarian Republic;;;;;;;;;;;;;x,,,,,,,,
GHU_socialist_republic;Hungarian Republic;;;;;;;;;;;;;x,,,,,,,,
GHU_fascist_monarchy;Kingdom of Hungary;;;;;;;;;;;;;x,,,,,,,,
GHU_fascist_dictatorship;Kingdom of Hungary;;;;;;;;;;;;;x,,,,,,,,
GPA;Papal States;;;;;;;;;;;;;x,,,,,,,,
GPA_ADJ;Ostrogothic;;;;;;;;;;;;;x,,,,,,,,
GPA_autonomous_dependency;Papal states;;;;;;;;;;;;;x,,,,,,,,
GPA_absolute_monarchy;Papal states;;;;;;;;;;;;;x,,,,,,,,
GPA_prussian_constitutionalism;Papal states;;;;;;;;;;;;;x,,,,,,,,
GPA_hms_government;Papal states;;;;;;;;;;;;;x,,,,,,,,
GPA_democracy;Papal states;;;;;;;;;;;;;x,,,,,,,, 
GPA_parliamentary_republic;Papal states;;;;;;;;;;;;;x,,,,,,,,
GPA_presidential_dictatorship;Papal states;;;;;;;;;;;;;x,,,,,,,,
GPA_bourgeois_dictatorship;Papal states;;;;;;;;;;;;;x,,,,,,,,
GPA_proletarian_dictatorship;Papal states;;;;;;;;;;;;;x,,,,,,,,
GPA_socialist_republic;Papal states;;;;;;;;;;;;;x,,,,,,,,
GPA_fascist_monarchy;Papal states;;;;;;;;;;;;;x,,,,,,,,
GPA_fascist_dictatorship;Papal states;;;;;;;;;;;;;x,,,,,,,,
NHR;Neo Holy Roman Empire;;;;;;;;;;;;;x,,,,,,,,
NHR_ADJ;Franko-Roman;;;;;;;;;;;;;x,,,,,,,,
NHR_absolute_monarchy;Holy Franko-Roman Empire;;;;;;;;;;;;;x,,,,,,,,
NHR_prussian_constitutionalism;Holy Franko-Roman Empire;;;;;;;;;;;;;x,,,,,,,,
NHR_hms_government;Holy Franko-Roman Empire;;;;;;;;;;;;;x,,,,,,,,
NHR_democracy;Holy Franko-Roman Republic;;;;;;;;;;;;;x,,,,,,,, 
NHR_parliamentary_republic;Holy Franko-Roman Republic;;;;;;;;;;;;;x,,,,,,,,
NHR_presidential_dictatorship;Holy Franko-Roman Republic;;;;;;;;;;;;;x,,,,,,,,
NHR_bourgeois_dictatorship;Holy Franko-Roman Democratic Republic;;;;;;;;;;;;;x,,,,,,,,
NHR_proletarian_dictatorship;Holy Franko-Roman Council Republic;;;;;;;;;;;;;x,,,,,,,,
NHR_socialist_republic;Holy Franko-Roman Socialist Republic;;;;;;;;;;;;;x,,,,,,,,
NHR_fascist_monarchy;Holy Germanic Order;;;;;;;;;;;;;x,,,,,,,,
NHR_fascist_dictatorship;Holy Germanic Order;;;;;;;;;;;;;x,,,,,,,,
BGR;Burgundian Revolt;;;;;;;;;;;;;x,,,,,,,,
BGR_ADJ;Burgundian;;;;;;;;;;;;;x,,,,,,,,
DOB;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,,
DOB_ADJ;Bohemian;;;;;;;;;;;;;x,,,,,,,,
DOB_autonomous_dependency;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,,
DOB_absolute_monarchy;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,,
DOB_prussian_constitutionalism;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,,
DOB_hms_government;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,,
DOB_democracy;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,, 
DOB_parliamentary_republic;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,,
DOB_presidential_dictatorship;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,,
DOB_bourgeois_dictatorship;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,,
DOB_proletarian_dictatorship;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,,
DOB_socialist_republic;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,,
DOB_fascist_monarchy;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,,
DOB_fascist_dictatorship;Duchy of Bohemia;;;;;;;;;;;;;x,,,,,,,,
